,fish_id,group,treatment,exposure,datetime,latency,first_choice,num_changes,time_bright,mtpc,mov_bottom,mov_upper,mov_total,dist_bottom,dist_upper,dist_total,vel_bottom,vel_upper,vel_mean,attempts,last_flux,time_in_last_flux,resistance_index,lt,ls,wt,Kc,sex,blood_sugar,conductivity,pH
0,1BT01hCTR01,01h 0.0%,0.0,1,2020-07-21 08:52:05,0.0,bright,23.0,402.0,17.47826086956522,370.0,84.0,454.0,1344.0,399.0,1743.0,3.6324324324324326,4.75,4.191216216216216,2.0,4.0,17.0,7.133333333333333,4.2,3.4,0.49,1.24669244860574,unidentified,164.36363636363637,80.0,7.2
1,1BT01hCTR02,01h 0.0%,0.0,1,2020-07-21 09:09:30,0.0,bright,7.0,421.0,60.142857142857146,87.0,0.0,87.0,723.1,0.0,723.1,8.311494252873564,,8.311494252873564,3.0,3.0,17.0,3.85,3.6,2.8,0.37,1.6854956268221577,unidentified,95.0,80.0,7.2
2,1BT01hCTR03,01h 0.0%,0.0,1,2020-07-21 09:30:15,81.0,bright,66.0,202.0,3.0606060606060606,257.0,172.0,429.0,3492.8,2325.5,5818.3,13.590661478599223,13.520348837209303,13.555505157904264,1.0,9.0,52.0,43.8,4.0,3.2,0.51,1.5563964843749996,unidentified,164.36363636363637,80.0,7.2
3,1BT01hCTR04,01h 0.0%,0.0,1,2020-07-21 09:50:12,0.0,bright,52.0,151.0,2.9038461538461537,262.0,180.0,442.0,2653.0,1832.2,4485.2,10.125954198473282,10.178888888888888,10.152421543681086,1.0,8.0,52.0,34.93333333333334,3.3,2.5,0.32,2.048,unidentified,119.0,80.0,7.2
4,1BT01hCTR05,01h 0.0%,0.0,1,2020-07-21 10:10:35,0.0,bright,40.0,110.0,2.75,196.0,250.0,446.0,2504.6,3333.7,5838.299999999999,12.778571428571428,13.3348,13.056685714285713,2.0,8.0,27.0,31.6,3.8,3.0,0.44,1.6296296296296295,male,197.0,80.0,7.2
5,1BT01hCTR06,01h 0.0%,0.0,1,2020-07-21 10:28:41,0.0,dark,35.0,183.0,5.228571428571429,343.0,102.0,445.0,2950.7,1080.7,4031.3999999999996,8.602623906705539,10.595098039215687,9.598860972960612,2.0,8.0,55.0,35.333333333333336,3.8,3.0,0.45,1.6666666666666667,unidentified,164.36363636363637,80.0,7.2
6,1BT01hCTR07,01h 0.0%,0.0,1,2020-07-21 10:47:40,259.0,dark,11.0,40.0,3.6363636363636362,84.0,4.0,88.0,900.0,50.2,950.2,10.714285714285714,12.55,11.632142857142856,1.0,9.0,2.0,36.3,3.3,3.0,0.45,1.6666666666666667,female,223.0,80.0,7.2
7,1BT01hCTR08,01h 0.0%,0.0,1,2020-07-21 11:06:15,0.0,bright,21.0,123.0,5.857142857142857,353.0,86.0,439.0,2520.2,744.1,3264.2999999999997,7.139376770538243,8.652325581395349,7.895851175966796,1.0,9.0,10.0,37.5,3.4,2.7,0.33,1.676573693034598,male,187.0,80.0,7.2
8,1BT01hCTR09,01h 0.0%,0.0,1,2020-07-21 11:25:40,0.0,dark,11.0,42.0,3.8181818181818183,187.0,28.0,215.0,1903.5,287.3,2190.8,10.179144385026738,10.260714285714286,10.219929335370512,1.0,4.0,10.0,6.666666666666667,3.9,3.1,0.55,1.8461951596119635,male,133.0,80.0,7.2
9,1BT01hCTR10,01h 0.0%,0.0,1,2020-07-21 11:45:10,0.0,bright,0.0,0.0,0.0,220.0,197.0,417.0,2988.5,2344.9,5333.4,13.584090909090909,11.903045685279189,12.74356829718505,1.0,12.0,5.0,67.0,3.6,3.0,0.39,1.4444444444444446,male,163.0,80.0,7.2
