,fish_id,group,treatment,exposure,datetime,latency,first_choice,num_changes,time_bright,mtpc,mov_bottom,mov_upper,mov_total,dist_bottom,dist_upper,dist_total,vel_bottom,vel_upper,vel_mean,lt,ls,wt,Kc,sex,blood_sugar,conductivity,pH
138,2BT01hCTR01,01h 0.0%,0.0,1,2021-08-04 11:21:36,0.0,bright,48.0,148.0,3.0833333333333335,222.0,188.0,410.0,3275.5,2993.9,6269.4,14.754504504504505,15.925,15.339752252252254,2.6,2.0,0.18,2.25,male,186.25,120.0,7.2
139,2BT01hCTR02,01h 0.0%,0.0,1,2021-08-04 11:38:36,0.0,bright,30.0,214.0,7.133333333333334,213.0,162.0,375.0,2480.8,2248.4,4729.200000000001,11.646948356807513,13.879012345679014,12.762980351243264,2.8,2.3,0.23,1.8903591682419663,female,186.25,120.0,7.2
140,2BT01hCTR03,01h 0.0%,0.0,1,2021-08-04 11:55:34,0.0,bright,0.0,480.0,480.0,431.0,11.0,442.0,2266.3,90.1,2356.4,5.258236658932715,8.19090909090909,6.724572874920902,2.9,2.4,0.24,1.7361111111111112,female,186.25,120.0,7.2
141,2BT01hCTR04,01h 0.0%,0.0,1,2021-08-04 12:12:40,0.0,bright,9.0,60.0,6.666666666666667,267.0,139.0,406.0,3778.3,2539.4,6317.700000000001,14.150936329588015,18.26906474820144,16.21000053889473,2.8,2.4,0.22,1.5914351851851853,male,186.25,120.0,7.2
142,2BT01hCTR05,01h 0.0%,0.0,1,2021-08-04 12:29:30,0.0,bright,34.0,216.0,6.352941176470588,153.0,237.0,390.0,3138.8,4348.9,7487.7,20.515032679738564,18.349789029535863,19.43241085463721,2.9,2.4,0.18,1.3020833333333335,female,186.25,120.0,7.2
143,2BT01hCTR06,01h 0.0%,0.0,1,2021-08-04 12:47:08,0.0,dark,20.0,89.0,4.45,207.0,189.0,396.0,3927.2,3986.1,7913.299999999999,18.971980676328503,21.09047619047619,20.031228433402347,3.0,2.4,0.24,1.7361111111111112,female,105.0,120.0,7.2
144,2BT01hCTR07,01h 0.0%,0.0,1,2021-08-04 13:03:45,0.0,dark,25.0,122.0,4.88,243.0,167.0,410.0,4643.6,3917.7,8561.3,19.109465020576135,23.459281437125746,21.28437322885094,2.7,2.0,0.15,1.875,male,186.25,120.0,7.2
145,2BT01hCTR08,01h 0.0%,0.0,1,2021-08-04 13:21:19,0.0,dark,10.0,40.0,4.0,204.0,194.0,398.0,2595.0,2286.1,4881.1,12.720588235294118,11.784020618556701,12.25230442692541,2.5,2.0,0.15,1.875,male,186.25,120.0,7.2
146,2BT01hCTR09,01h 0.0%,0.0,1,2021-08-04 13:38:02,0.0,bright,23.0,343.0,14.91304347826087,223.0,199.0,422.0,3650.2,3253.5,6903.7,16.36860986547085,16.349246231155778,16.358928048313317,2.9,2.2,0.22,2.066115702479338,female,186.25,120.0,7.2
147,2BT01hCTR10,01h 0.0%,0.0,1,2021-08-04 13:54:56,0.0,bright,9.0,251.0,27.88888888888889,219.0,218.0,437.0,3343.9,3832.0,7175.9,15.268949771689497,17.577981651376145,16.42346571153282,2.8,2.2,0.19,1.7843726521412466,female,257.0,120.0,7.2
148,2BT01hCTR11,01h 0.0%,0.0,1,2021-08-04 14:12:27,0.0,bright,17.0,172.0,10.117647058823529,209.0,185.0,394.0,3506.5,3620.1,7126.6,16.77751196172249,19.568108108108106,18.172810034915297,2.9,2.2,0.24,2.2539444027047324,female,186.25,120.0,7.2
149,2BT01hCTR12,01h 0.0%,0.0,1,2021-08-04 14:30:01,0.0,bright,15.0,51.0,3.4,157.0,256.0,413.0,1750.4,2563.5,4313.9,11.149044585987262,10.013671875,10.581358230493631,3.0,2.3,0.21,1.7259801101339691,female,201.0,120.0,7.2
150,2BT01hCTR13,01h 0.0%,0.0,1,2021-08-04 14:47:20,8.0,bright,9.0,222.0,24.666666666666668,342.0,100.0,442.0,2859.7,1207.5,4067.2,8.361695906432749,12.075,10.218347953216373,2.8,2.2,0.21,1.9722013523666408,female,182.0,120.0,7.2
151,2BT01hCTR14,01h 0.0%,0.0,1,2021-08-04 15:04:27,0.0,dark,1.0,3.0,3.0,239.0,161.0,400.0,3137.2,2202.7,5339.9,13.126359832635982,13.681366459627329,13.403863146131656,2.968840579710145,2.3347826086956527,0.24,1.8856969241244685,unidentified,186.25,120.0,7.2
152,2BT01hCTR15,01h 0.0%,0.0,1,2021-08-04 15:20:58,0.0,dark,3.0,325.0,108.33333333333333,240.0,145.0,385.0,4154.2,2616.6,6770.799999999999,17.309166666666666,18.04551724137931,17.67734195402299,3.1,2.6,0.24,1.3654984069185252,female,186.25,120.0,7.2
153,2BT01hCTR16,01h 0.0%,0.0,1,2021-08-04 15:37:59,0.0,bright,10.0,378.0,37.8,271.0,171.0,442.0,4302.9,3373.0,7675.9,15.877859778597784,19.72514619883041,17.8015029887141,3.1,2.8,0.29,1.3210641399416911,female,186.25,120.0,7.2
154,2BT01h00501,01h 0.5%,0.5,1,2021-08-05 11:00:07,0.0,bright,34.0,211.0,6.205882352941177,298.0,80.0,378.0,3896.0,1808.2,5704.2,13.073825503355705,22.6025,17.838162751677853,2.8,2.2,0.18,1.6904583020285493,male,158.0,120.0,7.5
155,2BT01h00502,01h 0.5%,0.5,1,2021-08-05 11:16:24,0.0,dark,0.0,0.0,0.0,335.0,64.0,399.0,4075.4,1077.3,5152.7,12.165373134328359,16.8328125,14.499092817164179,3.1,2.4,0.29,2.097800925925926,male,158.0,120.0,7.5
156,2BT01h00503,01h 0.5%,0.5,1,2021-08-05 11:34:23,0.0,dark,54.0,251.0,4.648148148148148,357.0,0.0,357.0,3761.1,0.0,3761.1,10.535294117647059,,10.535294117647059,2.6,2.2,0.2,1.878287002253944,male,158.0,120.0,7.5
157,2BT01h00504,01h 0.5%,0.5,1,2021-08-05 12:08:38,0.0,dark,0.0,0.0,0.0,279.0,140.0,419.0,2899.1,1652.8,4551.9,10.391039426523298,11.805714285714286,11.098376856118792,2.9,2.2,0.24,2.2539444027047324,female,158.0,120.0,7.5
158,2BT01h00505,01h 0.5%,0.5,1,2021-08-05 12:24:33,0.0,dark,44.0,221.0,5.0227272727272725,304.0,100.0,404.0,3431.7,1408.7,4840.4,11.288486842105263,14.087,12.68774342105263,3.0,2.5,0.29,1.856,unidentified,158.0,120.0,7.5
159,2BT01h00506,01h 0.5%,0.5,1,2021-08-05 12:41:08,0.0,bright,3.0,465.0,155.0,309.0,105.0,414.0,3549.2,1529.0,5078.2,11.486084142394821,14.561904761904762,13.023994452149791,2.9,2.2,0.18,1.6904583020285493,female,158.0,120.0,7.5
160,2BT01h00507,01h 0.5%,0.5,1,2021-08-05 12:57:37,0.0,bright,17.0,130.0,7.647058823529412,340.0,51.0,391.0,3582.17,801.2,4383.37,10.53579411764706,15.709803921568628,13.122799019607843,2.8,2.2,0.23,2.1600300525920355,female,158.0,120.0,7.5
161,2BT01h00508,01h 0.5%,0.5,1,2021-08-05 13:14:20,9.0,dark,34.0,159.0,4.676470588235294,17.0,0.0,17.0,405.0,0.0,405.0,23.823529411764707,,23.823529411764707,3.0,2.5,0.29,1.856,female,158.0,120.0,7.5
162,2BT01h00509,01h 0.5%,0.5,1,2021-08-05 13:30:49,0.0,bright,30.0,336.0,11.2,355.0,89.0,444.0,5276.0,1650.6,6926.6,14.861971830985915,18.546067415730334,16.704019623358125,2.8,2.1,0.22,2.375553395961559,female,158.0,120.0,7.5
163,2BT01h00510,01h 0.5%,0.5,1,2021-08-05 13:37:24,75.0,bright,22.0,237.0,10.772727272727273,71.0,0.0,71.0,776.8,0.0,776.8,10.940845070422535,,10.940845070422535,2.8,2.1,0.22,2.375553395961559,female,158.0,120.0,7.5
164,2BT01h00511,01h 0.5%,0.5,1,2021-08-05 14:03:57,0.0,bright,26.0,354.0,13.615384615384615,402.0,0.0,402.0,3938.6,0.0,3938.6,9.797512437810944,,9.797512437810944,3.4,2.7,0.4,2.032210537011634,female,158.0,120.0,7.5
165,2BT01h00512,01h 0.5%,0.5,1,2021-08-05 14:21:02,0.0,bright,41.0,196.0,4.780487804878049,221.0,196.0,417.0,3586.8,3083.4,6670.200000000001,16.229864253393664,15.731632653061226,15.980748453227445,3.2,2.6,0.35,1.9913518434228492,female,158.0,120.0,7.5
166,2BT01h00513,01h 0.5%,0.5,1,2021-08-05 14:47:02,0.0,bright,54.0,239.0,4.425925925925926,114.0,0.0,114.0,1327.8,0.0,1327.8,11.647368421052631,,11.647368421052631,3.3,2.6,0.35,1.9913518434228492,female,158.0,120.0,7.5
167,2BT01h00514,01h 0.5%,0.5,1,2021-08-05 15:03:39,4.0,bright,8.0,380.0,47.5,202.0,223.0,425.0,3149.7,3715.5,6865.2,15.592574257425742,16.661434977578477,16.12700461750211,3.1,2.4,0.27,1.9531250000000004,male,158.0,120.0,7.5
168,2BT01h00515,01h 0.5%,0.5,1,2021-08-05 15:20:01,0.0,bright,25.0,248.0,9.92,372.0,31.0,403.0,5537.4,644.0,6181.4,14.885483870967741,20.774193548387096,17.829838709677418,3.2,2.6,0.34,1.9344560764679108,female,158.0,120.0,7.5
