,fish_id,group,treatment,exposure,attempts,last_flux,time_in_last_flux,resistance_index,lt,ls,wt,Kc,sex,blood_sugar
278,3BT01hCTR01,01h 0.0%,0.0,1,1.0,6.0,17.0,16.7,3.2,2.7,0.32,1.6257684296093071,unidentified,188.0
279,3BT01hCTR02,01h 0.0%,0.0,1,2.0,2.0,18.0,1.6,3.4,2.7,0.29,1.4733526393334346,male,142.0
280,3BT01hCTR03,01h 0.0%,0.0,1,1.0,4.0,33.0,8.2,3.6,2.4,0.18,1.3020833333333335,female,188.0
281,3BT01hCTR04,01h 0.0%,0.0,1,3.0,4.0,3.0,6.2,3.5,2.7,0.27,1.371742112482853,unidentified,396.0
282,3BT01hCTR05,01h 0.0%,0.0,1,1.0,6.0,32.0,18.2,3.5,2.9,0.36,1.4760752798392718,female,188.0
283,3BT01hCTR06,01h 0.0%,0.0,1,2.0,3.0,16.0,3.8,3.6,2.9,0.37,1.5170773709459182,female,188.0
284,3BT01hCTR07,01h 0.0%,0.0,1,1.0,7.0,0.0,21.0,3.2,2.5,0.27,1.728,male,188.0
285,3BT01hCTR08,01h 0.0%,0.0,1,1.0,6.0,15.0,16.5,3.8,2.8,0.33,1.5032798833819245,female,43.0
286,3BT01hCTR09,01h 0.0%,0.0,1,1.0,8.0,30.0,32.0,3.7,2.8,0.37,1.6854956268221577,female,137.0
287,3BT01hCTR10,01h 0.0%,0.0,1,1.0,4.0,45.0,9.0,3.4,2.7,0.33,1.676573693034598,female,188.0
288,3BT01hCTR11,01h 0.0%,0.0,1,1.0,6.0,49.0,19.9,3.0,2.5,0.23,1.472,male,188.0
289,3BT01hCTR12,01h 0.0%,0.0,1,1.0,6.0,50.0,20.0,3.4,2.7,0.28,1.422547375908144,female,188.0
290,3BT01hCTR13,01h 0.0%,0.0,1,1.0,4.0,14.0,6.933333333333334,3.0,2.4,0.21,1.5190972222222223,male,142.0
291,3BT01hCTR14,01h 0.0%,0.0,1,1.0,10.0,37.0,51.166666666666664,3.3,2.7,0.26,1.3209368490575624,male,152.0
292,3BT01hCTR15,01h 0.0%,0.0,1,1.0,6.0,0.0,15.0,3.6,3.1,0.38,1.2755530193682654,female,165.0
293,3BT01hCTR16,01h 0.0%,0.0,1,1.0,7.0,5.0,21.583333333333332,3.1,2.5,0.24,1.5359999999999998,male,327.0
